leadtime,rmse,mape
0,1.0369861,0.10909892
1,1.292311,0.12831695
2,1.4265308,0.14282946
3,1.6369743,0.1629556
4,1.8153044,0.18289863
5,1.9600217,0.19955778
6,2.0851285,0.21440779
7,2.234336,0.24010397
8,2.384676,0.25082824
9,2.5315201,0.27167478
10,2.7029395,0.29617417
11,2.9011753,0.3257385
