leadtime,rmse,mape
0,1.3439488,0.15761833
1,1.751436,0.20191619
2,2.0321932,0.22544394
3,2.2532904,0.24591862
4,2.421781,0.26103586
5,2.566882,0.28072813
6,2.6777759,0.2956754
7,2.7484808,0.31158486
8,2.840549,0.3258502
9,2.9469855,0.33822566
10,3.090821,0.3563393
11,3.2941244,0.38300213
